ID	Title	Steps	Expected	Validation	Status	Date
GroupClass-0	Thêm mới nhóm lớp thành công	1) Mở ứng dụng; 2) Vào GroupClass Management; 3) Click Add; 4) Điền form hợp lệ; 5) Submit	Nhóm lớp được tạo thành công	Valid tất cả field có validate	Chưa chạy	
GroupClass-1	Validate bắt buộc khi thêm nhóm lớp	1) Mở GroupClass Management; 2) Click Add; 3) Để trống các trường bắt buộc; 4) Submit	Hiển thị lỗi bắt buộc tại từng trường	Valid tất cả field có validate	Chưa chạy	
GroupClass-2	Không cho phép trùng tên nhóm lớp	1) Thêm nhóm lớp A (hợp lệ); 2) Thêm lại nhóm lớp A (trùng)	Bị chặn trùng và không lưu bản ghi	Kiểm tra ràng buộc unique	Chưa chạy	
GroupClass-3	Cập nhật nhóm lớp	1) Chọn một nhóm lớp đã có; 2) Click Edit; 3) Sửa thông tin hợp lệ; 4) Save	Thông tin nhóm lớp cập nhật và hiển thị đúng	Valid tất cả field có validate	Chưa chạy	
GroupClass-4	Xóa nhóm lớp chưa được tham chiếu	1) Thêm nhóm lớp mới chưa dùng ở lịch; 2) Chọn và Xóa	Nhóm lớp bị xóa thành công	Kiểm tra ràng buộc FK	Chưa chạy	
GroupClass-5	Chặn xóa khi nhóm lớp đã có lịch	1) Tạo lịch có dùng nhóm lớp X; 2) Thử xóa nhóm lớp X	Bị chặn xóa, thông báo nguyên nhân	Kiểm tra ràng buộc FK	Chưa chạy	
GroupClass-6	Tìm kiếm/Lọc nhóm lớp	1) Nhập từ khóa/tiêu chí lọc; 2) Quan sát danh sách	Kết quả hiển thị đúng tiêu chí lọc	Kiểm tra UI filter	Chưa chạy	
GroupClass-7	Hiển thị danh sách ngành (majors)	1) Mở form tạo lịch; 2) Mở combobox majors	Danh sách majors hiển thị đầy đủ và đúng	Đúng nguồn dữ liệu	Chưa chạy	
Room-0	Thêm mới phòng thành công	1) Vào Room Management; 2) Click Add; 3) Điền RoomName/Building hợp lệ; 4) Submit	Phòng được tạo thành công	Valid tất cả field có validate	Chưa chạy	
Room-1	Validate bắt buộc khi thêm phòng	1) Add phòng; 2) Bỏ trống các trường bắt buộc; 3) Submit	Hiển thị lỗi bắt buộc từng trường	Valid tất cả field có validate	Chưa chạy	
Room-2	Không cho phép trùng RoomName	1) Thêm phòng G101; 2) Thêm lại G101	Bị chặn bởi unique index IX_RoomName	Kiểm tra ràng buộc unique	Chưa chạy	
Room-3	Cập nhật thông tin phòng	1) Chọn phòng; 2) Sửa thông tin hợp lệ; 3) Lưu	Thông tin phòng được cập nhật	Valid tất cả field có validate	Chưa chạy	
Room-4	Chặn xóa khi phòng đã được dùng ở lịch	1) Tạo lịch OFF dùng phòng G101; 2) Thử xóa G101	Bị chặn xóa, có thông báo nguyên nhân	Kiểm tra ràng buộc FK	Chưa chạy	
