ID	Title	Steps	Expected	Validation	Status	Date
GroupClass-0	Add new class group successfully	1) Open the app; 2) Go to GroupClass Management; 3) Click Add; 4) Fill a valid form; 5) Submit	Class group is created successfully	Validate all fields	Not Run	
GroupClass-1	Required validation when adding class group	1) Open GroupClass Management; 2) Click Add; 3) Leave required fields empty; 4) Submit	Required errors are shown at each field	Validate all fields	Not Run	
GroupClass-2	Disallow duplicate class group name	1) Add class group A (valid); 2) Add class group A again (duplicate)	Blocked as duplicate and not saved	Check unique constraint	Not Run	
GroupClass-3	Update class group	1) Select an existing class group; 2) Click Edit; 3) Change with valid data; 4) Save	Class group info is updated and displayed correctly	Validate all fields	Not Run	
GroupClass-4	Delete class group not referenced	1) Add a new class group unused by schedules; 2) Select and Delete	Class group is deleted successfully	Check FK constraint	Not Run	
GroupClass-5	Block delete when class group has schedules	1) Create schedules using class group X; 2) Try to delete X	Deletion is blocked with a clear reason	Check FK constraint	Not Run	
GroupClass-6	Search/Filter class groups	1) Input keyword/filter criteria; 2) Observe the list	Results match filter criteria	UI filter	Not Run	
GroupClass-7	Display majors list	1) Open Create Schedule form; 2) Open majors combobox	Majors list is complete and correct	Correct data source	Not Run	
Room-0	Add new room successfully	1) Go to Room Management; 2) Click Add; 3) Fill RoomName/Building valid; 4) Submit	Room is created successfully	Validate all fields	Not Run	
Room-1	Required validation when adding room	1) Add room; 2) Leave required fields empty; 3) Submit	Required errors are shown per field	Validate all fields	Not Run	
Room-2	Disallow duplicate RoomName	1) Add room G101; 2) Add G101 again	Blocked by unique index IX_RoomName	Check unique constraint	Not Run	
Room-3	Update room information	1) Select a room; 2) Edit with valid data; 3) Save	Room info is updated	Validate all fields	Not Run	
Room-4	Block delete when room is used in schedules	1) Create OFF schedule using room G101; 2) Try to delete G101	Deletion is blocked with a clear reason	Check FK constraint	Not Run	
Room-5	Filter rooms by building	1) Filter Building=G; 2) Observe list	Only rooms in building G are shown	UI filter	Not Run	
Subject-0	Add new subject successfully	1) Go to Subject Management; 2) Add; 3) Fill valid SubjectCode/Name; 4) Submit	Subject is created	Validate all fields	Not Run	
Subject-1	Required validation when adding subject	1) Add; 2) Leave required fields empty; 3) Submit	Required errors are shown	Validate all fields	Not Run	
Subject-2	Disallow duplicate SubjectCode	1) Add SubjectCode=PRJ301; 2) Add PRJ301 again	Blocked as duplicate	Check unique constraint	Not Run	
Subject-3	Block delete subject already referenced	1) Create CurriculumSubject or Schedules using subject X; 2) Try to delete X	Deletion is blocked with a clear reason	Check FK constraint	Not Run	
Subject-4	Search/Filter subjects	1) Enter keyword by code/name; 2) Observe	Results match filter	UI filter	Not Run	
Lecturer-0	Add new lecturer successfully	1) Go to Lecturer Management; 2) Add; 3) Fill valid (ID/Account/Name); 4) Submit	Lecturer is created	Validate all fields	Not Run	
Lecturer-1	Required validation when adding lecturer	1) Add; 2) Leave required fields empty; 3) Submit	Required errors are shown	Validate all fields	Not Run	
Lecturer-2	Disallow duplicate LecturerAccount	1) Add Account=a@fpt.edu.vn; 2) Add same Account again	Blocked as duplicate account	Check unique constraint	Not Run	
Lecturer-3	Block delete lecturer with schedules	1) Create schedules using Lecturer L1; 2) Try to delete L1	Deletion is blocked with a clear reason	Check FK constraint	Not Run	
Lecturer-4	Search/Filter lecturers	1) Enter keyword by name/account; 2) Observe	Results match filter	UI filter	Not Run	
Curriculum-0	Add new curriculum	1) Go to Curriculum Management; 2) Add; 3) Fill valid CurriculumCode/Name; 4) Submit	Curriculum is created	Validate all fields	Not Run	
Curriculum-1	Required validation when adding curriculum	1) Add; 2) Leave required fields empty; 3) Submit	Required errors are shown	Validate all fields	Not Run	
Curriculum-2	Disallow duplicate CurriculumCode	1) Add code=SE; 2) Add code=SE again	Blocked as duplicate	Check unique constraint	Not Run	
Curriculum-3	Block delete curriculum with dependencies	1) Create GroupClass/CurriculumSubject for C1; 2) Try to delete C1	Deletion is blocked with a clear reason	Check FK constraint	Not Run	
Curriculum-4	List majors	1) Call/Display GetAllMajor; 2) Observe	Majors are returned completely	Correct data source	Not Run	
CurriculumSubject-0	Add new Curriculum-Subject mapping	1) Go to CurriculumSubject; 2) Add; 3) Select valid CurriculumCode & SubjectCode; 4) Submit	Mapping is created	Validate all fields	Not Run	
CurriculumSubject-1	Required validation when adding mapping	1) Add; 2) Leave one of the fields empty; 3) Submit	Required errors are shown	Validate all fields	Not Run	
CurriculumSubject-2	Disallow duplicate (CurriculumCode, SubjectCode)	1) Add C=SE, S=PRJ301; 2) Add C=SE, S=PRJ301 again	Blocked by composite index IX_CurriculumCode_SubjectCode	Check unique constraint	Not Run	
CurriculumSubject-3	Get subjects by CurriculumCode	1) Call GetSubjectCodeByCurriculumCode; 2) Observe	Return correct list of SubjectCode	Correct data source	Not Run	
CurriculumSubject-4	Block delete mapping in use	1) Use mapping in schedule generation; 2) Try to delete mapping	Deletion is blocked with a clear reason	Check FK constraint	Not Run	
LecturerSubject-0	Add new Lecturer-Subject mapping	1) Go to LecturerSubject; 2) Add; 3) Select valid Lecturer & Subject; 4) Submit	Mapping is created	Validate all fields	Not Run	
LecturerSubject-1	Required validation when adding mapping	1) Add; 2) Leave Lecturer or Subject empty; 3) Submit	Required errors are shown	Validate all fields	Not Run	
LecturerSubject-2	Disallow duplicate (LecturerId, SubjectCode)	1) Add L1-PRJ301; 2) Add L1-PRJ301 again	Blocked by composite index IX_LecturerId_SubjectCode	Check unique constraint	Not Run	
LecturerSubject-3	Get lecturers by SubjectCode	1) Call GetBySubjectCode; 2) Observe	Return correct list of lecturers for the subject	Correct data source	Not Run	
LecturerSubject-4	Block delete mapping used in schedules	1) Create schedules using L1-PRJ301; 2) Try to delete mapping L1-PRJ301	Deletion is blocked with a clear reason	Check FK constraint	Not Run	
Scheduler-0	Auto-generate schedules successfully	1) Open Create Schedule; 2) Select majors for Group A/B; 3) Select start date; 4) Click Generate	Schedules are created and shown by week, success notification	Progress displayed correctly	Not Run	
Scheduler-1	Block generate when majors missing	1) Do not select enough majors A/B; 2) Click Generate	Warning is shown to select required information	Validate all fields	Not Run	
Scheduler-2	Detect room OFF conflicts	1) Generate schedules with many classes per room; 2) Check same day/slot	No two OFF slots share same room, day and slot	Room OFF constraint	Not Run	
Scheduler-3	Detect lecturer conflicts	1) Generate schedules; 2) Check same day/slot for same lecturer	No lecturer conflict occurs	Lecturer constraint	Not Run	
Scheduler-4	Drag-and-drop swap slot	1) Drag slot A to empty cell/another slot B; 2) Confirm popup if any	Swap succeeds without violating constraints	DB & UI in sync	Not Run	
